B365H,B365A,B365D
3.25,2.38,3.4
2.6,3.0,3.3
1.17,19.0,8.5
2.15,3.75,3.4
3.0,2.55,3.3
2.0,4.33,3.4
2.1,3.6,3.7
2.63,2.88,3.4
2.7,2.8,3.4
2.15,3.8,3.4
3.4,2.35,3.3
2.15,3.6,3.5
2.45,3.25,3.25
1.22,16.0,7.0
6.0,1.65,4.0
6.0,1.67,3.9
1.45,8.0,4.75
1.85,4.75,3.6
3.5,2.2,3.5
1.3,12.0,5.75
1.6,6.5,4.0
1.85,5.0,3.5
2.4,3.2,3.4
2.05,4.2,3.4
3.3,2.4,3.3
1.36,10.0,5.25
4.5,1.91,3.6
3.5,2.25,3.4
2.2,3.6,3.4
6.5,1.57,4.2
2.1,3.9,3.4
2.38,3.3,3.3
1.3,12.0,5.75
1.45,8.5,4.5
3.2,2.38,3.4
2.7,2.88,3.3
1.95,4.5,3.4
5.5,1.7,3.9
1.65,6.0,4.0
2.45,3.1,3.4
2.4,3.3,3.3
2.45,3.2,3.3
1.2,17.0,7.5
1.67,5.5,4.2
6.0,1.65,4.0
6.5,1.62,4.0
2.1,3.8,3.5
1.44,8.5,4.75
4.9,1.75,4.0
1.29,12.0,6.0
1.25,15.0,6.5
1.45,9.0,4.5
1.57,6.5,4.33
4.5,1.83,3.9
2.3,3.5,3.3
1.62,6.5,4.0
5.5,1.73,3.8
4.0,2.05,3.5
2.75,2.8,3.3
3.4,2.3,3.4
11.0,1.36,5.0
1.44,8.0,4.75
1.33,11.0,5.5
2.2,3.6,3.4
1.62,6.5,4.0
2.38,3.2,3.4
2.9,2.63,3.3
1.75,5.25,3.8
1.44,8.0,4.75
2.3,3.3,3.5
6.5,1.57,4.2
2.15,3.8,3.4
1.2,18.0,7.5
6.0,1.62,4.2
3.3,2.4,3.3
1.55,7.0,4.2
2.25,3.4,3.5
3.4,2.3,3.4
2.5,3.0,3.4
2.0,4.2,3.5
1.29,12.0,6.0
6.5,1.62,4.0
1.25,15.0,6.5
2.63,2.9,3.3
1.62,7.0,3.8
2.35,3.2,3.5
9.0,1.4,5.0
2.0,4.33,3.4
1.57,6.5,4.33
1.62,6.0,4.2
3.0,2.5,3.4
3.3,2.38,3.3
1.85,5.0,3.5
1.8,4.75,3.8
2.15,3.9,3.3
6.0,1.62,4.2
6.0,1.65,4.0
1.7,5.5,4.0
2.15,3.8,3.4
2.0,4.33,3.4
6.5,1.62,4.0
1.62,6.25,4.0
2.05,4.0,3.5
2.0,4.33,3.4
1.91,4.6,3.5
1.57,6.5,4.2
6.5,1.62,4.0
1.29,13.0,6.0
2.8,2.63,3.5
3.25,2.4,3.3
1.2,17.0,7.5
5.8,1.67,3.9
1.29,12.0,6.0
1.73,5.5,3.75
1.7,5.75,3.8
2.1,4.0,3.4
6.5,1.55,4.33
2.2,3.5,3.5
6.0,1.62,4.2
2.8,2.75,3.3
1.29,12.0,6.0
1.53,7.0,4.33
5.25,1.75,3.8
6.5,1.57,4.2
4.5,1.91,3.6
1.8,5.0,3.75
1.7,5.75,3.8
2.75,2.8,3.3
1.75,5.5,3.75
2.63,2.88,3.4
1.18,19.0,8.0
1.36,10.5,5.0
2.3,3.5,3.3
1.83,4.75,3.75
2.4,3.2,3.4
1.95,4.33,3.6
5.25,1.75,3.8
2.88,2.7,3.3
2.5,3.0,3.4
3.25,2.38,3.4
9.5,1.36,5.25
1.2,16.0,7.5
1.36,10.0,5.25
2.3,3.5,3.25
2.05,4.0,3.5
1.95,4.5,3.5
2.55,3.0,3.3
3.0,2.5,3.4
2.38,3.25,3.4
1.91,4.5,3.5
3.3,2.38,3.3
1.33,10.0,5.5
1.36,9.5,5.25
7.0,1.55,4.2
1.75,4.6,4.2
1.75,5.25,3.8
2.05,4.0,3.5
1.53,7.0,4.33
6.5,1.62,4.0
3.0,2.55,3.3
2.38,3.4,3.25
2.05,4.1,3.4
1.13,29.0,9.5
6.5,1.57,4.2
2.38,3.25,3.4
2.2,3.5,3.5
1.83,4.75,3.7
4.0,2.0,3.7
1.44,8.0,4.33
1.29,13.0,6.0
2.38,3.3,3.3
2.5,3.1,3.3
1.3,11.0,6.0
1.8,4.75,3.8
4.0,2.05,3.5
4.0,2.1,3.3
2.15,3.75,3.4
5.75,1.62,4.25
2.6,2.88,3.4
2.0,4.1,3.5
1.4,9.0,5.0
2.2,3.75,3.3
6.5,1.6,4.0
1.57,7.0,4.0
1.83,4.75,3.7
1.36,10.0,5.0
5.25,1.7,4.0
5.75,1.67,4.0
6.0,1.62,4.2
1.22,15.0,7.0
2.35,3.5,3.2
1.22,15.0,7.0
1.13,23.0,11.0
2.4,3.25,3.3
3.2,2.45,3.3
3.0,2.5,3.4
1.73,5.5,3.8
3.25,2.38,3.4
3.5,2.25,3.4
2.5,3.2,3.2
1.83,4.5,3.9
1.25,15.0,6.5
2.7,2.8,3.4
4.33,1.95,3.5
1.75,5.25,3.75
2.6,3.0,3.3
1.18,19.0,8.0
2.1,3.9,3.4
3.75,2.05,3.75
2.3,3.4,3.4
1.53,7.0,4.33
3.6,2.2,3.4
4.0,2.05,3.5
1.95,4.33,3.5
7.0,1.57,4.0
2.9,2.6,3.4
1.22,16.0,7.0
5.75,1.62,4.33
1.85,4.5,3.8
2.1,3.8,3.5
1.25,15.0,6.25
2.6,3.0,3.3
2.2,3.4,3.6
9.0,1.36,5.5
1.55,7.5,4.0
2.15,3.8,3.4
1.85,4.75,3.6
1.2,19.0,7.0
2.1,3.75,3.5
2.5,3.0,3.4
3.0,2.6,3.25
7.5,1.5,4.5
2.05,4.0,3.5
2.15,3.6,3.5
8.0,1.4,5.25
3.3,2.3,3.5
2.7,2.9,3.25
1.33,11.0,5.5
2.75,2.88,3.2
1.57,7.0,4.0
6.5,1.6,4.0
1.18,19.0,8.0
1.8,4.75,3.9
3.2,2.4,3.4
1.3,12.0,5.75
2.1,3.9,3.4
3.8,2.1,3.5
1.53,7.5,4.2
8.0,1.45,4.75
2.45,3.3,3.2
3.75,2.05,3.75
5.5,1.73,3.8
2.1,3.9,3.4
1.85,5.0,3.5
1.33,12.0,5.25
2.35,3.2,3.5
1.57,7.0,4.0
3.9,2.15,3.3
2.25,3.6,3.3
5.0,1.83,3.6
7.0,1.53,4.33
1.36,11.0,5.0
2.9,2.6,3.4
6.5,1.57,4.33
1.62,6.5,4.0
2.25,3.6,3.3
2.15,3.9,3.3
1.95,4.33,3.6
2.5,2.9,3.6
3.1,2.45,3.4
9.5,1.36,5.25
1.85,4.75,3.6
1.67,6.0,3.9
2.25,3.6,3.3
1.17,17.0,9.0
1.85,4.75,3.6
2.2,3.75,3.3
4.5,1.91,3.6
2.2,3.75,3.3
2.25,3.5,3.4
1.57,6.5,4.2
3.5,2.15,3.6
3.5,2.25,3.4
1.17,19.0,9.0
2.4,3.3,3.3
3.6,2.15,3.5
10.0,1.4,4.75
1.45,8.0,4.75
1.75,5.25,3.8
2.15,3.9,3.3
1.73,5.25,3.9
1.83,4.75,3.75
5.0,1.8,3.75
1.48,7.5,4.75
2.3,3.5,3.3
2.05,4.0,3.5
2.45,3.25,3.25
1.29,13.0,6.0
2.75,2.8,3.3
1.33,10.0,5.75
4.2,1.95,3.7
2.4,3.25,3.3
2.5,3.0,3.4
9.0,1.4,5.0
1.57,6.5,4.2
2.15,3.9,3.3
2.15,3.6,3.5
1.45,8.0,4.75
2.1,3.9,3.4
4.75,1.83,3.7
3.1,2.38,3.6
2.45,2.9,3.7
5.0,1.83,3.6
1.4,9.0,5.0
1.4,10.0,4.75
1.17,17.0,9.0
3.4,2.1,3.4
2.38,3.0,3.2
1.18,13.0,7.0
2.63,2.6,3.3
1.5,6.5,4.2
2.2,3.4,3.2
2.4,2.8,3.4
4.5,1.8,3.6
8.5,1.33,5.0
1.2,11.0,7.0
2.3,3.4,3.4
1.36,9.5,5.25
2.8,2.6,3.5
3.2,2.38,3.4
1.7,6.0,3.75
1.91,4.33,3.75
7.5,1.44,5.0
1.67,5.25,4.2
1.91,4.33,3.75
1.29,12.0,6.0
2.5,3.1,3.3
5.0,1.75,4.0
1.36,8.5,5.75
2.05,3.8,3.6
2.3,3.25,3.6
2.5,3.0,3.4
4.33,1.91,3.75
1.29,13.0,6.0
1.2,17.0,7.5
9.0,1.4,5.0
1.36,9.0,5.5
1.14,21.0,9.5
2.1,4.2,3.2
8.0,1.44,4.75
2.63,2.8,3.5
4.0,2.0,3.6
1.22,13.0,7.5
1.17,17.0,9.0
4.5,1.85,3.8
2.63,2.8,3.5
2.3,3.4,3.4
1.5,7.5,4.5
2.1,3.75,3.6
1.25,15.0,6.5
3.2,2.4,3.4
1.36,11.0,5.0
2.5,3.1,3.3
1.95,4.5,3.5
2.25,3.5,3.4
3.8,2.05,3.6
1.33,10.0,5.75
5.25,1.67,4.33
9.0,1.4,5.0
2.5,3.0,3.4
1.2,17.0,7.5
2.5,3.1,3.3
2.8,2.7,3.4
1.85,4.75,3.7
1.65,6.0,4.0
2.5,3.2,3.25
5.0,1.75,4.0
1.45,8.0,4.75
1.85,4.33,4.0
6.0,1.62,4.2
3.75,2.2,3.3
1.18,18.0,8.0
1.75,5.25,3.75
2.4,3.3,3.25
1.85,4.75,3.6
2.8,2.7,3.4
2.3,3.5,3.3
4.75,1.83,3.75
2.7,2.7,3.5
3.0,2.5,3.4
1.3,12.0,5.75
2.25,3.6,3.3
1.3,11.0,6.0
1.8,5.0,3.75
2.1,4.0,3.4
3.6,2.15,3.5
3.5,2.2,3.5
1.29,12.0,6.25
2.15,3.75,3.4
4.75,1.85,3.6
2.5,3.1,3.3
2.2,3.75,3.3
2.8,2.8,3.25
2.5,3.1,3.3
4.5,1.85,3.8
1.4,9.0,5.0
5.5,1.67,4.2
2.38,3.1,3.5
1.53,7.0,4.33
1.75,5.0,3.9
1.22,16.0,7.0
2.63,2.88,3.4
6.5,1.57,4.2
1.91,4.33,3.75
1.4,8.0,5.5
1.44,8.5,4.6
2.9,2.63,3.3
2.0,4.2,3.5
2.15,3.8,3.4
7.5,1.5,4.5
2.1,3.8,3.5
1.8,5.0,3.75
1.44,7.5,5.0
2.55,3.1,3.25
1.91,4.33,3.7
1.67,5.25,4.2
1.67,5.25,4.2
2.2,3.5,3.5
1.91,4.5,3.6
1.4,9.0,5.0
2.8,2.7,3.4
8.5,1.44,4.75
1.6,6.5,4.0
1.45,8.0,4.75
2.25,3.3,3.6
1.57,7.0,4.0
6.0,1.6,4.2
2.5,3.1,3.3
5.0,1.75,4.0
1.44,8.0,4.75
1.65,6.0,4.0
5.5,1.73,3.8
1.95,4.2,3.7
1.91,4.5,3.6
6.5,1.55,4.5
4.75,1.83,3.75
2.88,2.5,3.6
1.75,5.0,3.9
2.38,3.4,3.25
1.25,14.0,6.5
1.17,21.0,8.5
1.75,5.25,3.8
3.8,2.05,3.6
2.3,3.3,3.5
3.8,2.0,3.75
2.38,3.25,3.4
3.75,2.1,3.6
1.91,4.33,3.75
2.1,3.8,3.5
2.5,3.0,3.4
3.4,2.3,3.4
1.3,11.0,6.0
7.0,1.5,4.75
1.44,8.0,4.75
1.75,5.5,3.75
4.0,2.05,3.5
3.75,2.1,3.5
1.7,5.5,4.0
2.3,3.3,3.5
2.15,3.5,3.6
1.25,15.0,6.5
1.85,4.5,3.8
2.1,3.8,3.5
1.4,8.5,5.25
1.83,4.75,3.75
1.7,5.75,3.8
4.33,1.91,3.7
3.6,2.2,3.4
5.25,1.75,3.75
2.15,3.75,3.4
1.73,5.0,4.0
1.33,10.0,5.75
2.38,3.25,3.4
9.0,1.4,5.0
1.8,5.0,3.75
4.5,1.85,3.8
2.15,3.6,3.5
3.2,2.3,3.6
2.25,3.25,3.6
2.8,2.75,3.3
2.1,4.0,3.4
3.8,2.05,3.6
1.45,8.5,4.5
1.73,5.5,3.8
2.5,3.0,3.4
1.8,5.0,3.75
1.4,9.0,5.0
1.53,7.0,4.33
7.5,1.5,4.5
2.45,3.2,3.3
1.5,7.5,4.5
1.5,7.0,4.75
7.0,1.53,4.33
2.05,4.0,3.5
4.0,2.0,3.6
1.6,6.0,4.2
2.4,3.2,3.4
2.35,3.25,3.4
2.8,2.7,3.4
1.44,8.0,4.75
5.5,1.73,3.75
1.18,18.0,8.0
2.6,3.0,3.25
7.0,1.5,4.75
2.95,2.55,3.4
2.15,3.8,3.4
1.8,4.75,3.8
2.5,3.0,3.4
1.45,8.5,4.5
6.25,1.62,4.0
3.1,2.5,3.3
1.29,12.0,6.0
2.45,3.2,3.3
2.45,3.0,3.5
1.5,7.5,4.5
1.75,5.0,3.9
2.8,2.6,3.5
2.05,4.0,3.5
6.25,1.62,4.0
1.29,13.0,6.0
4.75,1.8,3.8
1.33,10.0,5.75
3.75,2.15,3.4
1.83,5.0,3.6
3.8,2.05,3.6
1.4,9.0,5.0
2.05,4.2,3.4
1.75,5.25,3.75
6.5,1.53,4.5
2.35,3.4,3.3
2.25,3.5,3.4
1.18,19.0,8.0
2.9,2.6,3.4
2.38,3.25,3.4
4.75,1.83,3.75
1.91,4.5,3.6
3.25,2.3,3.6
3.5,2.2,3.5
1.7,5.5,4.0
2.4,3.3,3.3
3.4,2.3,3.4
1.4,9.0,5.0
1.22,15.0,7.0
1.83,4.75,3.75
3.0,2.5,3.4
2.9,2.6,3.4
4.2,2.0,3.5
5.0,1.8,3.75
1.85,4.5,3.75
2.2,3.6,3.4
1.2,17.0,7.5
3.5,2.2,3.5
4.5,1.85,3.75
2.2,3.6,3.4
4.5,1.91,3.6
2.25,3.4,3.5
2.05,4.2,3.4
1.44,8.0,4.75
1.83,4.75,3.75
4.5,1.91,3.6
2.55,3.1,3.25
2.63,2.9,3.3
3.3,2.38,3.3
6.0,1.62,4.2
7.0,1.55,4.2
1.62,6.0,4.2
1.8,4.5,4.0
1.75,5.25,3.75
1.85,4.75,3.6
2.15,3.6,3.5
2.8,2.75,3.3
2.7,2.88,3.25
1.67,5.75,4.0
1.36,9.5,5.5
1.65,6.0,4.0
2.25,3.6,3.3
2.9,2.63,3.3
1.25,15.0,6.5
1.6,6.5,4.0
10.0,1.36,5.25
3.4,2.3,3.4
2.4,3.25,3.3
1.18,19.0,8.0
4.75,1.85,3.6
1.91,4.6,3.5
3.25,2.3,3.5
2.6,3.0,3.25
2.3,3.4,3.4
4.2,1.95,3.6
1.29,12.0,6.0
2.38,3.5,3.1
1.91,4.2,3.8
1.91,4.5,3.6
1.33,11.0,5.5
2.38,3.3,3.3
1.29,12.0,6.0
1.73,5.25,3.9
5.75,1.7,3.8
2.55,3.1,3.25
2.7,2.9,3.2
1.2,17.0,7.5
4.75,1.83,3.75
2.05,4.2,3.3
1.3,11.0,6.0
2.7,2.9,3.2
4.2,2.0,3.5
1.83,5.0,3.6
2.63,2.9,3.3
1.8,4.75,3.8
2.63,2.9,3.3
1.36,10.0,5.25
1.95,4.5,3.5
1.91,4.75,3.5
3.4,2.38,3.2
2.15,3.75,3.4
1.57,6.0,4.5
3.1,2.38,3.6
2.88,2.88,3.1
2.15,3.9,3.3
1.7,5.75,3.8
1.36,10.0,5.25
1.25,13.0,7.0
4.2,2.0,3.5
7.0,1.53,4.33
2.5,3.1,3.3
1.75,5.25,3.8
6.25,1.62,4.0
4.75,1.8,3.9
1.4,9.0,5.0
7.5,1.44,5.0
1.83,4.75,3.75
2.2,3.75,3.3
2.38,3.4,3.25
2.38,3.4,3.25
1.62,6.5,4.0
1.83,4.75,3.75
1.91,4.33,3.75
4.0,2.0,3.6
2.5,2.8,3.25
1.3,8.5,5.5
6.0,1.57,3.8
1.4,7.5,4.5
2.1,3.5,3.3
1.53,6.0,4.0
1.8,4.5,3.5
7.0,1.44,4.33
2.05,3.6,3.4
3.3,2.15,3.4
1.83,4.2,3.75
1.29,11.0,5.5
2.63,2.8,3.2
2.38,3.1,3.3
1.3,10.0,5.5
1.91,4.2,3.5
1.8,4.5,3.5
3.5,2.1,3.4
2.5,3.1,3.1
5.0,1.67,4.0
2.15,3.8,3.4
6.5,1.57,4.33
1.53,7.5,4.2
2.9,2.7,3.2
2.5,3.1,3.3
1.62,6.0,4.2
2.3,3.4,3.4
2.3,3.4,3.4
2.63,2.88,3.4
9.0,1.4,5.0
1.4,9.0,5.0
2.0,4.33,3.4
1.95,4.5,3.5
1.73,5.5,3.8
2.15,3.75,3.4
3.5,2.3,3.25
1.25,11.0,6.5
3.3,2.3,3.5
2.63,2.9,3.3
2.05,4.2,3.3
1.29,12.0,6.0
2.45,3.25,3.25
2.38,3.25,3.4
2.1,3.8,3.5
1.91,4.75,3.5
4.0,2.0,3.6
2.4,3.3,3.3
3.75,2.15,3.4
4.33,2.0,3.4
5.75,1.7,3.8
2.75,2.8,3.3
1.91,4.33,3.7
1.36,10.0,5.25
1.36,10.0,5.25
4.2,2.05,3.4
2.3,3.4,3.4
2.25,3.4,3.5
1.36,10.0,5.25
3.75,2.05,3.75
5.5,1.7,4.0
1.91,4.33,3.7
4.5,1.91,3.6
1.8,5.0,3.75
1.95,4.5,3.5
2.6,2.9,3.4
2.55,3.0,3.3
2.9,2.6,3.4
2.1,3.8,3.5
1.22,13.0,7.5
1.3,11.0,6.0
2.7,2.88,3.3
1.45,8.0,4.75
3.1,2.4,3.5
1.75,5.25,3.8
2.8,2.75,3.3
1.8,4.75,3.8
2.9,2.6,3.4
2.45,3.0,3.5
4.75,1.75,4.2
4.1,2.0,3.5
1.3,11.0,6.0
1.4,8.5,5.25
2.1,3.75,3.6
1.36,9.5,5.25
2.25,3.3,3.6
2.4,3.0,3.6
3.2,2.25,3.75
1.6,6.0,4.33
1.57,6.0,4.5
1.83,4.33,4.0
3.5,2.15,3.6
2.0,4.0,3.6
1.36,11.0,5.0
1.7,5.5,3.9
1.95,4.33,3.5
1.65,6.0,4.0
2.55,3.0,3.3
1.29,12.0,6.0
2.88,2.7,3.3
3.4,2.3,3.4
5.75,1.67,4.0
5.5,1.73,3.8
1.95,4.33,3.6
2.5,3.1,3.3
1.95,4.33,3.6
1.8,5.0,3.75
2.3,3.4,3.4
2.25,3.4,3.5
5.25,1.73,3.9
2.1,3.75,3.5
1.45,8.0,4.75
1.85,4.75,3.6
2.63,2.75,3.6
1.36,10.0,5.25
2.3,3.5,3.3
4.0,2.1,3.4
2.38,3.2,3.4
5.0,1.73,4.0
2.8,2.75,3.3
6.5,1.62,4.0
1.75,5.0,4.0
1.91,4.75,3.5
2.2,3.4,3.6
1.36,11.0,5.0
1.36,9.0,5.5
1.2,15.0,8.0
6.0,1.62,4.2
1.95,4.5,3.4
2.0,4.2,3.5
2.05,4.0,3.5
3.6,2.25,3.3
1.29,12.0,6.0
5.5,1.67,4.2
4.0,2.0,3.6
2.0,4.33,3.4
2.4,3.2,3.4
2.75,2.75,3.4
3.2,2.5,3.2
1.91,4.33,3.75
4.33,1.95,3.6
2.25,3.4,3.5
2.3,3.5,3.25
1.7,5.5,4.0
2.45,3.0,3.5
1.29,11.0,6.5
2.5,3.1,3.3
2.5,3.0,3.4
2.3,3.4,3.4
1.67,5.75,4.0
3.1,2.5,3.3
2.0,4.0,3.6
4.5,1.8,4.0
1.53,7.0,4.33
1.2,16.0,7.5
6.0,1.62,4.2
2.05,4.2,3.4
2.55,3.0,3.3
4.2,1.91,3.8
2.25,3.4,3.5
2.5,3.1,3.3
3.1,2.5,3.3
2.5,3.1,3.3
2.1,3.8,3.5
1.83,4.8,3.7
1.83,5.0,3.6
1.25,13.0,7.0
2.3,3.3,3.5
3.2,2.4,3.4
2.0,3.8,3.8
2.7,2.8,3.4
2.75,2.8,3.25
1.33,10.0,5.75
2.0,4.0,3.6
3.25,2.38,3.4
1.33,10.0,5.75
1.75,5.0,4.0
2.5,3.0,3.5
6.0,1.62,4.2
2.05,4.2,3.4
2.6,2.88,3.4
2.05,4.2,3.4
1.44,8.0,4.75
3.0,2.6,3.3
2.2,3.4,3.6
2.0,4.2,3.5
2.1,4.0,3.3
4.0,1.95,3.8
3.4,2.25,3.5
2.05,3.8,3.6
2.6,2.8,3.5
2.6,2.9,3.4
2.1,3.75,3.5
3.8,2.1,3.5
1.29,12.0,6.0
2.4,3.2,3.4
5.0,1.75,4.0
2.6,2.9,3.4
2.9,2.6,3.4
1.5,7.5,4.5
1.55,6.5,4.33
1.44,8.0,4.75
2.25,3.4,3.5
1.85,4.5,3.8
1.33,12.0,5.25
2.45,3.1,3.4
3.8,2.05,3.6
4.75,1.8,3.8
2.6,2.8,3.5
1.73,5.0,4.0
7.5,1.44,5.0
1.67,6.0,3.8
1.4,9.0,5.0
1.57,6.5,4.2
1.7,5.5,4.0
2.88,2.5,3.6
1.57,7.0,4.0
1.91,4.5,3.6
4.33,2.0,3.4
7.0,1.53,4.33
1.57,6.5,4.2
1.57,7.0,4.0
2.75,2.8,3.3
2.9,2.5,3.6
1.7,5.5,3.9
3.1,2.4,3.5
1.6,6.0,4.33
3.2,2.45,3.3
1.44,8.0,4.75
6.0,1.62,4.2
2.6,2.9,3.4
2.05,4.0,3.5
1.29,13.0,6.0
1.36,9.5,5.25
1.44,9.0,4.5
1.5,7.5,4.5
5.25,1.7,4.0
2.7,2.75,3.4
2.15,3.6,3.5
4.75,1.85,3.6
5.75,1.62,4.33
2.1,3.75,3.6
3.4,2.3,3.4
2.6,3.0,3.3
1.3,11.0,6.0
2.9,2.55,3.5
2.9,2.63,3.3
2.63,2.9,3.3
6.5,1.57,4.2
1.4,10.0,4.75
1.36,9.0,5.5
3.2,2.35,3.5
1.33,12.0,5.25
2.1,3.6,3.75
1.45,8.5,4.5
2.05,4.0,3.5
2.7,2.8,3.4
2.5,3.2,3.2
2.55,3.0,3.3
2.1,3.9,3.4
4.2,1.95,3.6
2.45,3.0,3.5
2.63,2.75,3.25
2.4,3.0,3.3
1.44,7.5,4.5
1.91,3.8,3.8
1.2,13.0,7.0
3.2,2.2,3.5
3.6,2.05,3.5
3.25,2.3,3.2
1.91,4.5,3.4
1.4,8.0,4.75
1.44,8.0,4.75
2.1,4.0,3.4
1.95,4.2,3.6
2.6,3.0,3.3
2.05,3.8,3.6
3.75,2.1,3.5
2.2,3.75,3.25
3.6,2.2,3.4
4.33,1.85,4.0
5.5,1.7,3.9
1.29,11.0,6.5
1.91,4.33,3.75
1.55,7.0,4.2
3.2,2.4,3.4
2.5,3.2,3.25
5.0,1.75,4.0
2.8,2.8,3.2
4.0,2.05,3.5
3.8,2.1,3.5
2.8,2.63,3.5
3.2,2.45,3.25
2.0,4.0,3.6
5.0,1.8,3.7
1.44,9.0,4.5
2.88,2.6,3.4
1.53,6.0,4.75
1.95,4.33,3.5
2.05,4.2,3.3
1.8,5.25,3.6
1.75,5.25,3.8
3.6,2.2,3.4
1.91,4.5,3.6
1.83,4.75,3.75
1.4,8.5,5.25
2.5,3.0,3.4
1.73,5.5,3.75
1.36,9.5,5.25
2.3,3.5,3.25
4.33,1.95,3.6
2.38,3.4,3.25
3.6,2.15,3.5
2.1,3.8,3.5
1.91,4.75,3.5
4.33,1.95,3.5
3.0,2.5,3.4
2.05,4.0,3.5
2.1,4.0,3.3
5.0,1.73,4.0
2.1,3.9,3.5
1.73,5.5,3.8
1.75,5.25,3.75
2.45,3.2,3.3
2.63,2.88,3.4
1.7,5.75,3.75
4.5,1.85,3.75
8.0,1.45,4.75
2.63,3.1,3.1
1.91,4.75,3.5
1.65,5.5,4.2
4.33,1.95,3.5
2.45,3.3,3.2
1.44,8.5,4.75
1.62,6.0,4.2
2.15,3.8,3.4
1.73,5.5,3.8
2.7,2.8,3.4
2.25,3.6,3.3
1.5,8.0,4.33
3.8,2.1,3.5
2.15,3.9,3.3
2.05,4.1,3.4
1.44,8.0,4.75
2.25,3.6,3.3
1.53,7.5,4.2
2.38,3.25,3.4
5.25,1.75,3.75
3.2,2.5,3.25
1.75,5.0,4.0
4.75,1.85,3.6
2.1,3.6,3.75
1.5,6.0,4.33
2.8,2.5,3.25
1.62,5.5,3.75
2.38,3.0,3.25
2.6,2.8,3.1
1.8,4.5,3.5
1.4,9.0,4.2
3.0,2.38,3.25
4.5,1.91,3.6
2.9,2.7,3.25
1.73,5.5,3.8
5.25,1.7,4.0
2.5,3.1,3.3
1.36,10.0,5.25
2.63,2.88,3.4
1.67,6.0,3.8
2.0,4.2,3.5
4.0,2.0,3.6
1.5,7.5,4.5
1.73,5.0,4.0
1.22,15.0,7.0
2.63,2.88,3.4
1.6,6.5,4.0
2.05,4.0,3.5
2.38,3.25,3.4
3.0,2.55,3.4
3.8,2.1,3.5
4.33,2.0,3.4
1.95,4.33,3.5
6.0,1.6,4.2
2.7,2.9,3.2
7.5,1.5,4.5
1.57,6.25,4.33
1.75,5.25,3.8
3.0,2.5,3.4
2.7,2.7,3.5
1.67,6.0,3.8
2.4,3.3,3.25
2.25,3.6,3.3
1.83,4.75,3.75
2.1,3.8,3.5
2.63,2.88,3.4
1.53,7.0,4.33
1.36,10.0,5.25
6.5,1.57,4.33
3.75,2.1,3.6
2.5,3.0,3.4
2.2,3.6,3.4
2.2,3.6,3.4
2.1,4.0,3.3
1.95,4.2,3.6
2.25,3.5,3.4
2.1,3.75,3.5
3.4,2.2,3.2
2.05,3.6,3.4
1.33,9.0,5.0
1.53,6.0,4.0
3.75,2.0,3.4
3.4,2.15,3.3
3.6,2.0,3.5
1.55,5.75,4.0
3.4,2.1,3.4
1.91,4.0,3.5
2.9,2.6,3.4
2.75,2.7,3.4
2.7,2.8,3.4
1.22,17.0,7.0
2.3,3.4,3.4
2.4,3.25,3.3
2.4,3.4,3.2
1.33,9.5,5.75
3.6,2.15,3.5
1.95,4.2,3.6
4.5,1.85,3.75
6.0,1.57,4.5
1.73,5.0,4.0
1.53,7.0,4.33
1.57,6.5,4.33
1.29,13.0,6.0
7.5,1.53,4.2
3.1,2.4,3.5
1.57,6.0,4.5
1.3,11.0,6.0
1.75,5.5,3.7
4.5,1.8,4.0
1.22,15.0,7.0
1.29,11.0,6.5
2.0,3.8,3.8
2.0,4.0,3.6
2.75,2.8,3.3
1.7,5.75,3.8
4.0,2.1,3.4
2.1,3.9,3.4
2.8,2.7,3.4
3.1,2.4,3.5
2.75,2.63,3.6
5.75,1.65,4.2
1.95,4.2,3.6
2.05,3.9,3.5
1.91,4.0,4.0
4.5,1.91,3.6
3.0,2.45,3.5
1.44,8.0,4.75
1.5,7.5,4.5
2.5,2.9,3.6
2.05,3.9,3.6
3.0,2.45,3.5
2.0,3.8,3.8
1.83,4.75,3.75
1.75,5.0,4.0
1.17,17.0,9.0
2.3,3.1,3.75
1.8,4.5,4.0
4.5,1.8,4.0
1.36,9.0,5.5
3.5,2.15,3.6
6.0,1.53,4.75
2.05,3.7,3.75
2.4,3.0,3.6
1.67,5.25,4.2
2.4,3.25,3.3
2.0,4.5,3.3
3.2,2.4,3.4
4.5,1.91,3.6
1.25,15.0,6.5
2.38,3.4,3.2
1.8,5.0,3.75
2.4,3.1,3.5
4.75,1.85,3.6
1.65,6.0,4.0
1.53,7.5,4.2
6.5,1.57,4.2
2.88,2.5,3.6
5.5,1.73,3.8
1.8,5.25,3.6
1.45,8.0,4.75
5.5,1.73,3.8
3.0,2.6,3.25
2.55,3.1,3.2
1.95,4.0,3.75
1.25,15.0,5.5
2.3,3.3,3.2
1.73,5.25,3.6
8.0,1.44,4.1
1.73,5.25,3.6
1.57,6.5,3.6
2.38,3.0,3.4
5.0,1.73,3.75
1.25,11.0,6.0
2.6,2.9,3.1
1.57,6.5,4.2
2.05,4.33,3.25
2.45,3.4,3.1
1.7,5.5,4.0
2.38,3.4,3.25
2.3,3.6,3.2
4.6,1.85,3.75
1.91,4.5,3.6
5.75,1.67,4.0
3.8,2.1,3.5
2.25,3.4,3.5
1.67,6.0,3.8
6.0,1.6,4.2
1.5,8.0,4.33
1.29,12.0,6.0
2.8,2.8,3.2
